IMD,Instituto Metrópole Digital
IIF,Instituto Internacional de Física
IMT,Instituto de Medicina Tropical
EMUFRN,Escola de Música
EAJ,Escola Agrícola de Jundaí
FACISA,Faculdade de Ciências da Saúde de Trairi
ECT,Escola de Ciência de Tecnologia
ÁGORA,Instituto Ágora de Línguas, Literaturas e Culturas Estrangeiras Modernas
IQ-UFRN,IQ,Instituto de Química
ICe,Instituto do Cérebro
EMCM,Escola Multicampi de Ciências Médicas
ESUFRN,Escola de Saúde
CB,Centro de Biociências
CCS,Centro de Ciências da Saúde
CCET,Centro de Ciências Exatas e da Terra
CCHLA,Centro de Ciências Humanas, Letras e Artes
CCSA,Centro de Ciências Sociais Aplicadas
CE,Centro de Educação
CERES,Centro de Ensino Superior Do Seridó
CT,Centro de Tecnologia
